DOY_Cont,Label,Depth,SM_%
323.40625,SM_Depth_9,3,11.2
323.41666667,SM_Depth_1,0.05,14.1
323.41666667,SM_Depth_2,0.1,13.7
323.41666667,SM_Depth_3,0.2,11.7
323.41666667,SM_Depth_4,0.5,11.2
323.41666667,SM_Depth_5,1,9.7
323.41666667,SM_Depth_7,2.5,4.8
323.41666667,SM_Depth_6,2,7.3
323.41666667,SM_Depth_8,2.7,5.4
323.41666667,SM_Depth_9,3,11.2
323.42708333,SM_Depth_1,0.05,14.1
323.42708333,SM_Depth_2,0.1,13.7
323.42708333,SM_Depth_3,0.2,11.7
323.42708333,SM_Depth_4,0.5,11.2
323.42708333,SM_Depth_5,1,9.7
323.42708333,SM_Depth_7,2.5,4.8
323.42708333,SM_Depth_6,2,7.3
323.42708333,SM_Depth_8,2.7,5.4
323.42708333,SM_Depth_9,3,11.2
323.4375,SM_Depth_1,0.05,14.1
323.4375,SM_Depth_2,0.1,13.7
323.4375,SM_Depth_3,0.2,11.7
323.4375,SM_Depth_4,0.5,11.2
323.4375,SM_Depth_5,1,9.7
323.4375,SM_Depth_7,2.5,4.8
323.4375,SM_Depth_6,2,7.3
323.4375,SM_Depth_8,2.7,5.4
323.4375,SM_Depth_9,3,11.2
323.44791667,SM_Depth_1,0.05,14.1
323.44791667,SM_Depth_2,0.1,13.7
323.44791667,SM_Depth_3,0.2,11.7
323.44791667,SM_Depth_4,0.5,11.2
323.44791667,SM_Depth_5,1,9.7
323.44791667,SM_Depth_7,2.5,4.8
323.44791667,SM_Depth_6,2,7.3
323.44791667,SM_Depth_8,2.7,5.4
323.44791667,SM_Depth_9,3,11.2
323.45833333,SM_Depth_1,0.05,14.1
323.45833333,SM_Depth_2,0.1,13.7
323.45833333,SM_Depth_3,0.2,11.7
323.45833333,SM_Depth_4,0.5,11.2
323.45833333,SM_Depth_5,1,9.7
323.45833333,SM_Depth_7,2.5,4.8
323.45833333,SM_Depth_6,2,7.3
323.45833333,SM_Depth_8,2.7,5.4
323.45833333,SM_Depth_9,3,11.2
323.46875,SM_Depth_1,0.05,14.1
323.46875,SM_Depth_2,0.1,13.7
323.46875,SM_Depth_3,0.2,11.7
323.46875,SM_Depth_4,0.5,11.2
323.46875,SM_Depth_5,1,9.7
323.46875,SM_Depth_7,2.5,4.8
323.46875,SM_Depth_6,2,7.3
323.46875,SM_Depth_8,2.7,5.4
323.46875,SM_Depth_9,3,11.2
323.47916667,SM_Depth_1,0.05,14.2
323.47916667,SM_Depth_2,0.1,13.7
323.47916667,SM_Depth_3,0.2,11.7
323.47916667,SM_Depth_4,0.5,11.2
323.47916667,SM_Depth_5,1,9.7
323.47916667,SM_Depth_7,2.5,4.8
323.47916667,SM_Depth_6,2,7.3
323.47916667,SM_Depth_8,2.7,5.4
323.47916667,SM_Depth_9,3,11.2
323.48958333,SM_Depth_1,0.05,14.1
323.48958333,SM_Depth_2,0.1,13.7
323.48958333,SM_Depth_3,0.2,11.7
323.48958333,SM_Depth_4,0.5,11.2
323.48958333,SM_Depth_5,1,9.7
323.48958333,SM_Depth_7,2.5,4.8
323.48958333,SM_Depth_6,2,7.3
323.48958333,SM_Depth_8,2.7,5.4
323.48958333,SM_Depth_9,3,11.1
323.5,SM_Depth_1,0.05,14.1
323.5,SM_Depth_2,0.1,13.7
323.5,SM_Depth_3,0.2,11.7
323.5,SM_Depth_4,0.5,11.2
323.5,SM_Depth_5,1,9.7
323.5,SM_Depth_7,2.5,4.8
323.5,SM_Depth_6,2,7.3
323.5,SM_Depth_8,2.7,5.4
323.5,SM_Depth_9,3,11.1
323.51041667,SM_Depth_1,0.05,14.1
323.51041667,SM_Depth_2,0.1,13.7
323.51041667,SM_Depth_3,0.2,11.7
323.51041667,SM_Depth_4,0.5,11.2
323.51041667,SM_Depth_5,1,9.7
323.51041667,SM_Depth_7,2.5,4.8
323.51041667,SM_Depth_6,2,7.3
323.51041667,SM_Depth_8,2.7,5.4
323.51041667,SM_Depth_9,3,11.1
323.52083333,SM_Depth_1,0.05,14.1
323.52083333,SM_Depth_2,0.1,13.7
323.52083333,SM_Depth_3,0.2,11.7
323.52083333,SM_Depth_4,0.5,11.2
323.52083333,SM_Depth_5,1,9.7
323.52083333,SM_Depth_7,2.5,4.8
323.52083333,SM_Depth_6,2,7.3
323.52083333,SM_Depth_8,2.7,5.4
323.52083333,SM_Depth_9,3,11.1
323.53125,SM_Depth_1,0.05,14.1
323.53125,SM_Depth_2,0.1,13.7
323.53125,SM_Depth_3,0.2,11.7
323.53125,SM_Depth_4,0.5,11.2
323.53125,SM_Depth_5,1,9.7
323.53125,SM_Depth_7,2.5,4.8
323.53125,SM_Depth_6,2,7.3
323.53125,SM_Depth_8,2.7,5.4
323.53125,SM_Depth_9,3,11.1
323.54166667,SM_Depth_1,0.05,14.1
323.54166667,SM_Depth_2,0.1,13.7
323.54166667,SM_Depth_3,0.2,11.7
323.54166667,SM_Depth_4,0.5,11.2
323.54166667,SM_Depth_5,1,9.7
323.54166667,SM_Depth_7,2.5,4.8
323.54166667,SM_Depth_6,2,7.3
323.54166667,SM_Depth_8,2.7,5.4
323.54166667,SM_Depth_9,3,11.1
323.55208333,SM_Depth_1,0.05,14.1
323.55208333,SM_Depth_2,0.1,13.7
323.55208333,SM_Depth_3,0.2,11.7
323.55208333,SM_Depth_4,0.5,11.2
323.55208333,SM_Depth_5,1,9.7
323.55208333,SM_Depth_7,2.5,4.8
323.55208333,SM_Depth_6,2,7.3
323.55208333,SM_Depth_8,2.7,5.4
323.55208333,SM_Depth_9,3,11.1
323.5625,SM_Depth_1,0.05,14.1
323.5625,SM_Depth_2,0.1,13.7
323.5625,SM_Depth_3,0.2,11.7
323.5625,SM_Depth_4,0.5,11.2
323.5625,SM_Depth_5,1,9.7
323.5625,SM_Depth_7,2.5,4.8
323.5625,SM_Depth_6,2,7.3
323.5625,SM_Depth_8,2.7,5.4
323.5625,SM_Depth_9,3,11.1
323.57291667,SM_Depth_1,0.05,14.1
323.57291667,SM_Depth_2,0.1,13.7
323.57291667,SM_Depth_3,0.2,11.7
323.57291667,SM_Depth_4,0.5,11.2
323.57291667,SM_Depth_5,1,9.7
323.57291667,SM_Depth_7,2.5,4.8
323.57291667,SM_Depth_6,2,7.3
323.57291667,SM_Depth_8,2.7,5.4
323.57291667,SM_Depth_9,3,11.1
323.58333333,SM_Depth_1,0.05,14.1
323.58333333,SM_Depth_2,0.1,13.7
323.58333333,SM_Depth_3,0.2,11.7
323.58333333,SM_Depth_4,0.5,11.2
323.58333333,SM_Depth_5,1,9.7
323.58333333,SM_Depth_7,2.5,4.8
323.58333333,SM_Depth_6,2,7.3
323.58333333,SM_Depth_8,2.7,5.4
323.58333333,SM_Depth_9,3,11.1
323.59375,SM_Depth_1,0.05,14.1
323.59375,SM_Depth_2,0.1,13.7
323.59375,SM_Depth_3,0.2,11.7
323.59375,SM_Depth_4,0.5,11.2
323.59375,SM_Depth_5,1,9.7
323.59375,SM_Depth_7,2.5,4.8
323.59375,SM_Depth_6,2,7.3
323.59375,SM_Depth_8,2.7,5.4
323.59375,SM_Depth_9,3,11.1
323.60416667,SM_Depth_1,0.05,14.1
323.60416667,SM_Depth_2,0.1,13.7
323.60416667,SM_Depth_3,0.2,11.7
323.60416667,SM_Depth_4,0.5,11.2
323.60416667,SM_Depth_5,1,9.7
323.60416667,SM_Depth_7,2.5,4.8
323.60416667,SM_Depth_6,2,7.3
323.60416667,SM_Depth_8,2.7,5.4
323.60416667,SM_Depth_9,3,11.1
323.61458333,SM_Depth_1,0.05,14.1
323.61458333,SM_Depth_2,0.1,13.7
323.61458333,SM_Depth_3,0.2,11.7
323.61458333,SM_Depth_4,0.5,11.2
323.61458333,SM_Depth_5,1,9.7
323.61458333,SM_Depth_7,2.5,4.8
323.61458333,SM_Depth_6,2,7.3
323.61458333,SM_Depth_8,2.7,5.4
323.61458333,SM_Depth_9,3,11.1
323.625,SM_Depth_1,0.05,14.1
323.625,SM_Depth_2,0.1,13.7
323.625,SM_Depth_3,0.2,11.7
323.625,SM_Depth_4,0.5,11.2
323.625,SM_Depth_5,1,9.7
323.625,SM_Depth_7,2.5,4.8
323.625,SM_Depth_6,2,7.3
323.625,SM_Depth_8,2.7,5.4
323.625,SM_Depth_9,3,11.1
323.63541667,SM_Depth_1,0.05,14.0
323.63541667,SM_Depth_2,0.1,13.7
323.63541667,SM_Depth_3,0.2,11.7
323.63541667,SM_Depth_4,0.5,11.2
323.63541667,SM_Depth_5,1,9.7
323.63541667,SM_Depth_7,2.5,4.8
323.63541667,SM_Depth_6,2,7.2
