drel,Campaign,d13C
0.0517476851851852,ambient,1013.2693774805518
0.0934375,ambient,827.1792242228463
0.135092592592593,ambient,636.6293944470684
0.176736111111111,ambient,462.52505135371797
0.2184375,ambient,75.9636748899368
0.260092592592593,ambient,20.175790724498828
0.301759259259259,ambient,5.900597875175663
0.343414351851852,ambient,1.5588803177787671
0.385081018518519,ambient,4.943929604854631
0.426759259259259,ambient,6.254063110885976
0.468402777777778,ambient,7.210579248909907
0.510081018518519,ambient,8.47138839824548
0.551759259259259,ambient,8.532592647429992
0.593425925925926,ambient,8.770309192527897
0.635092592592593,ambient,8.77517514653708
0.718622685185185,ambient,NA
0.760081018518519,ambient,NA
0.801759259259259,ambient,NA
0.843414351851852,ambient,NA
0.885092592592593,ambient,NA
0.926747685185185,ambient,NA
0.968414351851852,ambient,8.461113263829143
1.01008101851852,ambient,9.008116524523379
1.05175925925926,ambient,9.387097129592934
1.09342592592593,ambient,8.706262218079019
1.13509259259259,ambient,6.275697990955361
1.17673611111111,ambient,5.696598582603109
1.21842592592593,ambient,4.691061647911823
1.26009259259259,ambient,2.633530013112807
1.30175925925926,ambient,0.4486019055696815
1.34340277777778,ambient,0.25166183876019055
1.38508101851852,ambient,-0.5843732860352038
1.42675925925926,ambient,-2.30688071569862
1.46841435185185,ambient,-2.8269550202988416
1.51009259259259,ambient,-3.023726767775443
1.55201388888889,ambient,-3.423476695049093
1.59341435185185,ambient,-2.7359206548418644
1.63508101851852,ambient,-2.863434376620848
1.71841435185185,ambient,NA
1.76009259259259,ambient,NA
1.80174768518519,ambient,NA
1.84341435185185,ambient,NA
1.88508101851852,ambient,NA
1.92675925925926,ambient,NA
1.96840277777778,ambient,-0.9226244947784181
2.01008101851852,ambient,0.9825103759565845
2.05177083333333,ambient,2.13593217030029
2.09341435185185,ambient,2.531305052578203
2.13508101851852,ambient,2.3804207924821537
2.17674768518519,ambient,NA
2.21841435185185,ambient,NA
2.26009259259259,ambient,NA
2.30175925925926,ambient,-1.4853805863003
2.34341435185185,ambient,-0.29264553199572774
2.38509259259259,ambient,-1.541419281631887
2.42674768518519,ambient,-2.4779316859757667
2.46841435185185,ambient,-2.9728896388860218
2.51009259259259,ambient,-2.844062751584067
2.55174768518519,ambient,-2.935468062465061
2.59341435185185,ambient,-2.861824048194867
2.63508101851852,ambient,-2.6144427767312433
2.71841435185185,ambient,NA
2.76008101851852,ambient,NA
2.80174768518519,ambient,NA
2.84340277777778,ambient,NA
2.88506944444444,ambient,NA
2.92674768518519,ambient,NA
2.96840277777778,ambient,-1.6247776888883916
3.01009259259259,ambient,-0.5101540487551635
3.05174768518519,ambient,0.5783498429160989
3.0934375,ambient,1.3783711058658277
3.13509259259259,ambient,1.1500916482861996
3.17675925925926,ambient,1.3495884773955513
3.21842592592593,ambient,1.089013928923542
3.26008101851852,ambient,0.16784085786919434
3.30175925925926,ambient,-1.2088151414720674
3.3434375,ambient,-1.809336268190025
3.38509259259259,ambient,-3.2376798089465577
3.42674768518519,ambient,-3.684645671988191
3.46842592592593,ambient,-3.7941536303808476
3.51008101851852,ambient,-3.9583422300242592
3.55175925925926,ambient,-3.4433207800017964
3.59342592592593,ambient,-3.1856708379420677
3.63510416666667,ambient,-3.0458967060541617
3.7184375,ambient,NA
3.76010416666667,ambient,NA
3.80178240740741,ambient,NA
3.84342592592593,ambient,NA
3.88511574074074,ambient,NA
3.92675925925926,ambient,NA
3.96844907407407,ambient,-3.636430504588308
4.01010416666667,ambient,-2.1732309268483387
4.05175925925926,ambient,-1.0561001218956054
4.09344907407407,ambient,-0.3304881749637687
4.13509259259259,ambient,0.163764326947069
4.17675925925926,ambient,0.3746310796180712
4.21840277777778,ambient,-0.6463607329843892
4.26009259259259,ambient,-1.1242014526924216
4.30174768518518,ambient,-2.1170983496761266
4.34342592592593,ambient,-3.2131414716291644
4.38508101851852,ambient,-3.189661261538788
4.42674768518518,ambient,-4.319296202020297
4.46841435185185,ambient,-3.70281279917471
4.51006944444444,ambient,-3.875030280644994
4.55173611111111,ambient,-3.893985677666171
4.59341435185185,ambient,-4.107053942990021
4.63508101851852,ambient,-3.9224384207685485
4.71840277777778,ambient,NA
4.76008101851852,ambient,NA
4.80173611111111,ambient,NA
4.84342592592593,ambient,NA
4.88506944444444,ambient,NA
4.92674768518518,ambient,NA
4.96840277777778,ambient,-4.67719665531672
5.01008101851852,ambient,-2.6971996205188464
5.05174768518518,ambient,-0.7127902186196238
5.09342592592593,ambient,-0.44082463516864223
5.13509259259259,ambient,-0.45359130838346395
5.17675925925926,ambient,-0.39066865190937783
5.21842592592593,ambient,-0.2846906280873984
5.26009259259259,ambient,-1.32015101124634
5.30175925925926,ambient,-2.461186201499462
5.34342592592593,ambient,-2.846546338599671
5.38508101851852,ambient,-3.7221783233780457
